[2026-06-28 19:05:54] 开始获取全市场A股实时行情...
[2026-06-28 19:07:01] 获取到 5867 条股票数据
[2026-06-28 19:07:01] 列映射: {'code': '代码', 'name': '名称', 'price': '最新价', 'change_pct': '年初至今涨跌幅', 'amount': '成交额', 'turnover': '换手率'}
[2026-06-28 19:07:02] 预筛选候选股票: 4876 只
[2026-06-28 19:07:42] [89/4876] 处理 920489 佳先股份...
[2026-06-28 19:07:43] [90/4876] 处理 688663 新风光...
[2026-06-28 19:07:43] [91/4876] 处理 688359 三孚新科...
[2026-06-28 19:07:44] [92/4876] 处理 300727 润禾材料...
[2026-06-28 19:07:44] [93/4876] 处理 300900 广联航空...
[2026-06-28 19:07:45] [94/4876] 处理 300382 斯莱克...
[2026-06-28 19:07:45] [95/4876] 处理 688102 斯瑞新材...
[2026-06-28 19:07:46] [96/4876] 处理 301526 国际复材...
[2026-06-28 19:07:46] [97/4876] 处理 688448 磁谷科技...
[2026-06-28 19:07:47] [98/4876] 处理 688003 天准科技...
[2026-06-28 19:07:47] [99/4876] 处理 301588 美新科技...
[2026-06-28 19:07:48] [100/4876] 处理 688665 四方光电...
[2026-06-28 19:07:48] [101/4876] 处理 001335 信凯科技...
[2026-06-28 19:07:48] [102/4876] 处理 300321 同大股份...
[2026-06-28 19:07:49] [103/4876] 处理 603938 三孚股份...
[2026-06-28 19:07:49] [104/4876] 处理 002456 欧菲光...
[2026-06-28 19:07:50] [105/4876] 处理 688349 三一重能...
[2026-06-28 19:07:50] [106/4876] 处理 603065 宿迁联盛...
[2026-06-28 19:07:51] [107/4876] 处理 300776 帝尔激光...
[2026-06-28 19:07:51] [108/4876] 处理 300821 东岳硅材...
[2026-06-28 19:07:52] [109/4876] 处理 920970 大禹生物...
[2026-06-28 19:07:52] [110/4876] 处理 600206 有研新材...
[2026-06-28 19:07:53] [111/4876] 处理 300398 飞凯材料...
[2026-06-28 19:07:53] [112/4876] 处理 300717 华信新材...
[2026-06-28 19:07:53] [113/4876] 处理 301629 矽电股份...
[2026-06-28 19:07:54] [114/4876] 处理 688519 南亚新材...
[2026-06-28 19:07:54] [115/4876] 处理 000668 荣丰控股...
[2026-06-28 19:07:55] [116/4876] 处理 003036 泰坦股份...
[2026-06-28 19:07:55] [117/4876] 处理 688772 珠海冠宇...
[2026-06-28 19:07:56] [118/4876] 处理 688387 信科移动-U...
[2026-06-28 19:07:56] [119/4876] 处理 300212 *ST易录...
[2026-06-28 19:07:57] [120/4876] 处理 300420 五洋自控...
[2026-06-28 19:07:57] [121/4876] 处理 600520 三佳科技...
[2026-06-28 19:07:58] [122/4876] 处理 300666 江丰电子...
[2026-06-28 19:07:58] [123/4876] 处理 002617 露笑科技...
[2026-06-28 19:07:59] [124/4876] 处理 301188 力诺药包...
[2026-06-28 19:07:59] [125/4876] 处理 301232 飞沃科技...
[2026-06-28 19:07:59] [126/4876] 处理 603661 恒林股份...
[2026-06-28 19:08:00] [127/4876] 处理 301392 汇成真空...
[2026-06-28 19:08:00] [128/4876] 处理 000703 恒逸石化...
[2026-06-28 19:08:01] [129/4876] 处理 603256 宏和科技...
[2026-06-28 19:08:01] [130/4876] 处理 002208 合肥城建...
[2026-06-28 19:08:02] [131/4876] 处理 301046 能辉科技...
[2026-06-28 19:08:02] [132/4876] 处理 603281 江瀚新材...
[2026-06-28 19:08:03] [133/4876] 处理 688605 先锋精科...
[2026-06-28 19:08:03] [134/4876] 处理 002787 华源控股...
[2026-06-28 19:08:04] [135/4876] 处理 600619 海立股份...
[2026-06-28 19:08:04] [136/4876] 处理 002668 TCL智家...
[2026-06-28 19:08:04] [137/4876] 处理 603010 万盛股份...
[2026-06-28 19:08:05] [138/4876] 处理 605376 博迁新材...
[2026-06-28 19:08:05] [139/4876] 处理 002579 中京电子...
[2026-06-28 19:08:06] [140/4876] 处理 601636 旗滨集团...
[2026-06-28 19:08:06] [141/4876] 处理 002225 濮耐股份...
[2026-06-28 19:08:07] [142/4876] 处理 688361 中科飞测...
[2026-06-28 19:08:07] [143/4876] 处理 605358 立昂微...
[2026-06-28 19:08:08] [144/4876] 处理 300293 蓝英装备...
[2026-06-28 19:08:08] [145/4876] 处理 300801 泰和科技...
[2026-06-28 19:08:09] [146/4876] 处理 002859 洁美科技...
[2026-06-28 19:08:09] [147/4876] 处理 688720 艾森股份...
[2026-06-28 19:08:10] [148/4876] 处理 603324 盛剑科技...
[2026-06-28 19:08:10] [149/4876] 处理 300780 德恩精工...
[2026-06-28 19:08:10] [150/4876] 处理 301138 华研精机...
[2026-06-28 19:08:11] [151/4876] 处理 001309 德明利...
[2026-06-28 19:08:11] [152/4876] 处理 688603 天承科技...
[2026-06-28 19:08:12] [153/4876] 处理 688037 芯源微...
[2026-06-28 19:08:12] [154/4876] 处理 002202 金风科技...
[2026-06-28 19:08:13] [155/4876] 处理 000920 沃顿科技...
[2026-06-28 19:08:13] [156/4876] 处理 003009 中天火箭...
[2026-06-28 19:08:14] [157/4876] 处理 688516 奥特维...
[2026-06-28 19:08:14] [158/4876] 处理 300320 海达股份...
[2026-06-28 19:08:15] [159/4876] 处理 000551 创元科技...
[2026-06-28 19:08:15] [160/4876] 处理 300440 运达科技...
[2026-06-28 19:08:15] [161/4876] 处理 600667 太极实业...
[2026-06-28 19:08:16] [162/4876] 处理 920576 天力复合...
